location_id,stop_name,stop_lon,stop_lat,total,greater_98,average_distance,pct_error
2647,"Ft Vancouver Wy & McLoughlin [nb]",-122.658333,45.632919,736,19,30.80371869293473,0.0258
1065,"NE 28th St & 112th Ave",-122.55677,45.642849,3382,87,25.155086763453497,0.0257
2725,"NE 99th St & 41st Ct",-122.628693,45.69326,273,7,21.31395829670331,0.0256
985,"St Johns & 58th St",-122.636368,45.664028,468,12,22.913394510683748,0.0256
6086,"SE 34th St & 172nd Ave [wb]",-122.498055,45.596764,198,5,20.7154801010101,0.0253
729,"Main & 30th St [nb]",-122.669952,45.643085,845,21,36.08312525680474,0.0249
752,"NW 99th St & 8th Ave",-122.678741,45.692829,611,15,40.19093486743043,0.0245
687,"Plomondon & Caples [eb]",-122.624268,45.642948,245,6,27.27054439183674,0.0245
4182,"NW 119th St & 35th Ave",-122.707169,45.707062,207,5,43.01130430917873,0.0242
900,"NE 76th St & 103rd Ave [wb]",-122.567162,45.677799,83,2,18.944491072289157,0.0241
2750,"NE 99th St & 26th Ave",-122.643494,45.693211,468,11,20.112431613247896,0.0235
2093,"St Johns 8900 Block",-122.62429,45.687038,255,6,23.032498584313736,0.0235
3028,"Hazel Dell Ave 8900 Block",-122.669403,45.686989,300,7,61.81691983999998,0.0233
3253,"NE 78th St 3300 Block",-122.635948,45.678661,43,1,18.757386069767442,0.0233
2216,"Hwy 99 & 117th [sb]",-122.649689,45.705921,346,8,24.001846621387283,0.0231
3058,"NE 18th St & 65th Ave [eb]",-122.60408,45.63636,1344,31,21.345914223958342,0.0231
2091,"St Johns & 93rd St",-122.621727,45.688702,218,5,22.66486455045872,0.0229
4147,"Hazel Dell Ave & 60th St",-122.668983,45.665871,222,5,25.791870414414408,0.0225
217,"Andresen & Fourth Plain [nb]",-122.600601,45.644039,1654,36,15.757549206166829,0.0218
1074,"Burton 7700 Block [wb]",-122.593483,45.640419,505,11,20.937636180198023,0.0218
789,"NW 9th Ave & 79th St",-122.679764,45.679859,46,1,27.4660642826087,0.0217
2665,"E 33rd St & Y St [eb]",-122.64476,45.645031,230,5,62.15391094347829,0.0217
750,"NW 9th Ave 9600 Block [nb]",-122.679459,45.691269,93,2,19.600328559139783,0.0215
4175,"NW 119th St 2100 Block",-122.693321,45.707352,140,3,24.281766271428566,0.0214
112,"Andresen P&R",-122.598946,45.642715,800,17,21.785472225000024,0.0213
4165,"Jefferson & 12th St [nb]",-122.681374,45.630562,990,21,17.133092174747496,0.0212
1112,"Evergreen Blvd & Ash St",-122.636559,45.62579,432,9,22.8611911550926,0.0208
2320,"NE 3rd Ave 2800 Block",-122.376358,45.588402,48,1,25.099538562499998,0.0208
4143,"Hazel Dell Ave & 101st St",-122.668983,45.694321,196,4,36.44916542857141,0.0204
1142,"Evergreen Blvd & Harney Wy [wb]",-122.629211,45.623951,98,2,23.453544591836728,0.0204
6066,"Columbia House Blvd at Park & Ride",-122.638931,45.619469,2081,42,54.58922795771272,0.0202
6067,"Evergreen Blvd & Daniels",-122.674744,45.62886,455,9,17.600351487912086,0.0198
