location_id,stop_name,stop_lon,stop_lat,total,greater_98,average_distance,pct_error
2981,"NW 21st Ave & 99th St",-122.69278,45.69339,1203,683,97.43149986866182,0.5677
4165,"Jefferson & 12th St [nb]",-122.681374,45.630562,2579,1457,114.7721133350137,0.5649
2933,"Mill Plain & 177th Ave",-122.493431,45.616631,2825,1584,120.78057634123901,0.5607
3273,"Grand & 1st St [nb]",-122.643349,45.621078,2544,1426,125.00201134748428,0.5605
3089,"NE 39th St & 146th Ave",-122.522018,45.650211,3049,1708,122.98141212758239,0.5602
4151,"Hwy 99 & 122nd St [nb]",-122.649269,45.709518,2013,1121,116.76158974764037,0.5569
2648,"Ft Vancouver Wy & Mill Plain [nb]",-122.661987,45.630154,2579,1435,89.73080263629286,0.5564
2839,"NW 78th St & 12th Ave [wb]",-122.684258,45.678761,1212,674,119.60587585808588,0.5561
2733,"NE 78th St 4700 Block",-122.623932,45.67886,1628,904,132.72613094963165,0.5553
6119,"NE 99th St & Hwy 99 [wb]",-122.655975,45.693169,2596,1440,128.57985824768886,0.5547
4153,"NE 94th St & Hazel Dell Ave",-122.668655,45.689621,4037,2237,122.61551918157082,0.5541
6129,"SE 136th Ave & McGillivray",-122.532387,45.610138,2980,1647,139.20408742382543,0.5527
4174,"NW 99th St & 9th Ave [wb]",-122.680038,45.692951,1134,625,120.8845420564375,0.5511
1384,"W 6th St & Washington",-122.672386,45.625652,1246,685,95.66563880096317,0.5498
701,"Van Mall Dr & 94th Ave [wb]",-122.577606,45.658257,9527,5231,113.77329454161858,0.5491
3308,"Grand 300 Block [sb]",-122.643387,45.622162,2572,1410,109.90814574650081,0.5482
606,"E 33rd St & Y St [wb]",-122.644722,45.645031,1242,677,132.28621716505646,0.5451
4149,"Hazel Dell Ave 4900 Block [nb]",-122.666878,45.657242,2810,1527,125.32316643274012,0.5434
1278,"McGillivray & Park Crest Ave [eb]",-122.516663,45.605751,2964,1607,117.30422339912313,0.5422
2930,"Bernie Dr & Lupin St",-122.686646,45.670551,1209,649,114.24203036311008,0.5368
3236,"NE 162nd Ave & 34th St [nb]",-122.505959,45.647327,2924,1569,124.865509754446,0.5366
820,"NE 117th Ave & Caples Rd [nb]",-122.552002,45.730549,2573,1376,117.80918943684411,0.5348
685,"Caples at Post Office [nb]",-122.62355,45.640968,1256,671,109.2426767085987,0.5342
2990,"NE 99th St & 50th Ave [eb]",-122.621841,45.692814,2585,1380,111.15195993230155,0.5338
781,"Hazel Dell Ave & 105th St",-122.669022,45.69659,1116,595,112.81367134856619,0.5332
3131,"Andresen & Louisiana [nb]",-122.602051,45.61985,2875,1532,99.52728367721738,0.5329
2233,"NW 99th St 100 Block",-122.67131,45.692982,2332,1242,111.19370902015446,0.5326
2318,"NE 3rd Ave & 3rd Loop",-122.381203,45.588421,2682,1428,135.01998167561527,0.5324
3283,"Kauffman 3100 Block",-122.680969,45.644379,3994,2125,113.91628089258886,0.5320
2983,"NW 99th St & 12th Ave [eb]",-122.683983,45.69278,1197,636,115.31502144862169,0.5313
1077,"NE 18th St & Devine",-122.614349,45.635269,3052,1618,106.62263467627788,0.5301
3238,"NE 162nd Ave & 23rd St [sb]",-122.506248,45.639118,3050,1611,119.69408050098353,0.5282
836,"W Main St 600 Block [wb]",-122.544487,45.780819,2657,1397,103.68667919947318,0.5258
1178,"C St & Pendleton",-122.354111,45.5793,2698,1408,128.5659814814678,0.5219
2688,"Van Mall Dr 7500 Block [wb]",-122.596268,45.657688,4441,2294,116.78255278495816,0.5166
3037,"NW 36th Ave & 122nd St",-122.708252,45.708488,1203,621,99.89173878387355,0.5162
6093,"SE 192nd Avenue & 15th Street [nb]",-122.475761,45.610802,2802,1440,113.52897213597407,0.5139
1199,"Mill Plain & Ogden [eb]",-122.617645,45.628624,6500,3340,111.18621394830707,0.5138
967,"NW 6th Ave & 6th Ave [eb]",-122.426086,45.582249,2688,1381,111.14437269494059,0.5138
6065,"Grand Blvd & 16th St",-122.64093,45.633064,2578,1324,120.65641510783585,0.5136
3002,"Bliss Rd & 21st Ave",-122.693619,45.7239,1116,571,107.13869279928318,0.5116
3372,"E St & 15th St",-122.355858,45.581249,2677,1368,118.00187025812473,0.5110
2058,"Evergreen Blvd & E Reserve St [wb]",-122.653458,45.62595,2840,1451,97.09347141373249,0.5109
1118,"Andresen & Evergreen Blvd [nb]",-122.603767,45.614769,2885,1473,106.47004779965339,0.5106
2957,"Andresen & 70th St [nb]",-122.603127,45.673389,1635,834,113.43837829113166,0.5101
2007,"Lincoln & 57th St [sb]",-122.682518,45.66375,1215,617,104.4282400296297,0.5078
6085,"SE 34th St & 177th Ave [wb]",-122.491219,45.596889,2736,1381,108.89595187792392,0.5048
6089,"SE 34th Street & Hiddenbrook Dr [eb]",-122.483711,45.596546,2804,1415,111.63416524607666,0.5046
739,"Hazel Dell Ave & Repass Rd",-122.668404,45.675369,2843,1429,108.02061631551182,0.5026
1020,"St James & Minnehaha",-122.638138,45.666611,2574,1293,99.96680578865585,0.5023
3300,"W 33rd St & Main [eb]",-122.669228,45.645409,1158,581,100.88930228583767,0.5017
2732,"NE 78th St & 58th Ave",-122.61219,45.678818,1651,828,112.85413091520299,0.5015
